x,y
5.999999999978555820e-02,1.112359999999954496e+01
-2.160000000000167120e+00,1.134560000000038826e+01
6.379999999999650839e+00,6.446439999999483916e+01
9.419999999999586038e+00,1.185763999999913665e+02
8.579999999999603943e+00,1.017763999999924067e+02
9.399999999999586464e+00,1.181599999999913990e+02
2.419999999999735252e+00,2.169639999999818869e+01
-7.540000000000052438e+00,5.277160000000068862e+01
-5.080000000000104876e+00,2.664640000000085607e+01
-8.640000000000028990e+00,6.836960000000044602e+01
-2.060000000000169251e+00,1.112360000000035853e+01
-6.340000000000078018e+00,3.851560000000083051e+01
-7.280000000000057980e+00,4.943840000000072621e+01
-8.000000000001961098e-01,1.003999999999992099e+01
7.499999999999626965e+00,8.224999999999366196e+01
7.679999999999623128e+00,8.534239999999346082e+01
2.819999999999726725e+00,2.459239999999791237e+01
-4.180000000000124061e+00,2.011240000000078965e+01
-6.140000000000082281e+00,3.641960000000084108e+01
-1.060000000000190568e+00,1.000360000000002358e+01
-1.920000000000172236e+00,1.084640000000031712e+01
8.859999999999597975e+00,1.072195999999920701e+02
2.799999999999727152e+00,2.443999999999792649e+01
1.179999999999761684e+00,1.475239999999896057e+01
6.519999999999647855e+00,6.655039999999470979e+01
9.199999999997672262e-01,1.368639999999910550e+01
-6.920000000000065654e+00,4.504640000000078004e+01
-2.380000000000162430e+00,1.190440000000044840e+01
3.739999999999707114e+00,3.246759999999721913e+01
9.479999999999584759e+00,1.198303999999913003e+02
2.839999999999726299e+00,2.474559999999789994e+01
-6.280000000000079297e+00,3.787840000000083762e+01
6.959999999999638476e+00,7.336159999999424031e+01
7.879999999999618865e+00,8.885439999999323391e+01
-3.580000000000136851e+00,1.665640000000070486e+01
9.179999999999591154e+00,1.136323999999916765e+02
-8.080000000000040927e+00,6.012640000000057938e+01
7.719999999999622275e+00,8.603839999999341615e+01
6.539999999999647429e+00,6.685159999999467573e+01
9.219999999999590301e+00,1.144483999999916222e+02
7.339999999999630376e+00,7.955559999999383081e+01
-7.460000000000054143e+00,5.173160000000069658e+01
2.219999999999739515e+00,2.036839999999832429e+01
3.299999999999716493e+00,2.848999999999756128e+01
-9.960000000000000853e+00,9.028160000000001162e+01
-2.800000000000153477e+00,1.324000000000055266e+01
5.999999999999658939e+00,5.899999999999522515e+01
1.259999999999759979e+00,1.510759999999891434e+01
-6.400000000001995204e-01,1.012959999999985605e+01
1.659999999999751452e+00,1.707559999999867983e+01
8.139999999999613323e+00,9.353959999999293018e+01
9.799999999999577938e+00,1.266399999999908772e+02
7.859999999999619291e+00,8.849959999999325078e+01
-9.300000000000014921e+00,7.889000000000024215e+01
-3.040000000000148361e+00,1.416160000000060570e+01
-3.800000000002050626e-01,1.038439999999974539e+01
-8.260000000000037090e+00,6.270760000000053935e+01
9.299999999999588596e+00,1.160899999999915195e+02
5.159999999999676845e+00,4.794559999999601985e+01
9.759999999999578790e+00,1.257775999999909402e+02
6.119999999999656382e+00,6.069439999999510604e+01
-5.700000000000091660e+00,3.209000000000086317e+01
3.179999999999719051e+00,2.747239999999765203e+01
9.879999999999576232e+00,1.283743999999907714e+02
4.519999999999690488e+00,4.047039999999658733e+01
-8.600000000001948308e-01,1.001959999999994544e+01
-7.140000000000060965e+00,4.769960000000074984e+01
-9.760000000000005116e+00,8.673760000000008574e+01
7.019999999999637197e+00,7.432039999999418001e+01
-8.020000000000042206e+00,5.928040000000058996e+01
