x1,x2,y
0.624629955289618,0.700555642231921,1
0.4158575454114516,0.27794942539090695,1
0.8549310213563039,0.7607425380291638,1
0.295350327345539,0.6448872828312525,0
0.8244906970150139,0.8061314800532696,1
0.5229971167412503,0.13476226358447674,0
0.6308519296508609,0.5918932696350924,1
0.10510946830495338,0.31963468690975017,1
0.3123412168865255,0.6451600428938062,0
0.9481872895698635,0.5976625369806975,1
0.3551658262462585,0.012752625588638988,1
0.8445171802925125,0.03841995997238967,0
0.11037227202055278,0.9476508170678226,0
0.6268706443740436,0.13794252062883938,0
0.6395171616744317,0.16729760226646662,0
0.6823899015870116,0.21937883012587145,0
0.3545087791315802,0.8850590234150684,0
0.13080366820127298,0.8820026623638139,0
0.34694902056584165,0.8058915524392443,0
0.24204990840905227,0.1904193244389596,1
0.14693733018324928,0.4770345170228757,1
0.5213026718723148,0.663134316033939,1
0.44624716572873235,0.6591616640581919,0
0.9471449892260467,0.8324654728840329,1
0.7798152761357349,0.8637343159628496,1
0.8896750785978386,0.6838239123259634,1
0.6660179087558115,0.8133140185406584,1
0.9529053825140035,0.8181482837831678,1
0.050234574238464336,0.8722832157895226,0
0.9157036111967626,0.23693347799336328,0
0.381236606484487,0.02792840201673219,1
0.09165871010853899,0.4569944159896415,1
0.5043645044427966,0.6481948625118065,1
0.895467001343964,0.8014741977924927,1
0.5934624824119334,0.6068949611536772,1
0.7375377595655852,0.6682331133553092,1
0.5108149420274523,0.07349061181341354,0
0.47912678705129885,0.8953863333656457,0
0.29135179862801364,0.3042535992799129,1
0.6300205216800074,0.2407739637362637,0
0.8749520221299758,0.40954221002007385,0
0.7214469462511469,0.17542574711450865,0
0.15546884285468998,0.03728297462385255,1
0.43534258788528357,0.9084093559275969,0
0.9278216238021647,0.628448717627787,1
0.6634105487370479,0.9462151302125297,1
0.4458865918062649,0.8049477015393064,0
0.1621049343085933,0.373858341323401,1
0.5809678786256111,0.3280150674360376,0
0.5718550299160736,0.33294966033517104,0
0.46658299239954715,0.9421518985241982,0
0.9614784205022846,0.6418525542532586,1
0.6035008823098152,0.8304273693114281,1
0.4098423353459888,0.3002584077363898,1
0.9118233421419728,0.6618253608434453,1
0.07764112783367727,0.08289350533250195,1
